RNC,Zone,Issue,Date,,,,
Q321001897-1,4,3,1,,,,
Q321001901-1,31,2,1,,,,
Q321001902-1,4,2,1,,,,
Q321001902-2,4,2,1,,,,
Q321001902-3,4,2,1,,,,
Q321001924-1,34,3,1,,,,
Q321001930-1,34,5,1,,,,
Q321001943-1,34,3,1,,,,
Q321001950-1,33,2,1,,,,
Q321001979-2,34,3,2,,,,
Q321001979-3,34,3,2,,,,
Q321001979-4,34,1,2,,,,
Q321001979-5,34,1,2,,,,
Q321001979-6,34,4,2,,,,
Q321001979-7,34,3,2,,,,
Q321002020-1,34,3,2,,,,
Q321002031-1,MTS,2,2,,,,
Q321002033-1,34,3,2,,,,
Q321002081-1,34,3,2,,,,
Q321002094-1,34,3,2,,,,
Q321002120-1,34,3,2,,,,
Q321002120-2,34,3,2,,,,
Q321002120-3,34,1,2,,,,
Q321002120-4,34,1,2,,,,
Q321002120-5,34,1,2,,,,
Q321002120-6,34,3,2,,,,
Q321002122-1,34,3,2,,,,
Q321002128-1,34,3,2,,,,
Q321002132-1,32,5,2,,,,
Q321002158-1,2,1,2,,,,
Q321002173-1,4,2,2,,,,
Q321002179-1,32,4,2,,,,
Q321002194-1,MTS,1,2,,,,
Q321002229-1,4,4,2,,,,
Q321002253-1,34,7,2,,,,
Q321002254-2,4,2,2,,,,
Q321002264-1,34,7,2,,,,
Q321002283-1,4,1,2,,,,
Q321002302-1,34,1,2,,,,
Q321002304-1,4,2,2,,,,
Q321002304-2,4,2,2,,,,
Q321002340-1,MTS,3,2,,,,
Q321002363-1,34,3,2,,,,
Q321002363-2,34,1,2,,,,
Q321002384-1,32,4,2,,,,
Q321002385-1,32,4,2,,,,
Q321002386-1,32,4,2,,,,
Q321002387-1,32,4,2,,,,
Q321002388-1,32,4,2,,,,
Q321002389-1,32,4,2,,,,
Q321002390-1,32,4,2,,,,
Q321002391-1,32,4,2,,,,
Q321002392-1,32,4,2,,,,
Q321002393-1,32,4,2,,,,
Q321002396-1,31,2,2,,,,
Q321002396-2,31,2,2,,,,
Q321002403-1,4,5,2,,,,
Q321002411-1,1,1,2,,,,
Q321002426-2,34,6,2,,,,
Q321002445-1,34,5,2,,,,
Q321002450-2,34,3,2,,,,
Q321002450-3,34,3,2,,,,
Q321002513-1,33,5,2,,,,
Q321002516-1,34,3,2,,,,
Q321002516-2,34,3,2,,,,
Q321002544-1,4,2,2,,,,
Q321002558-1,33,4,2,,,,
Q321002558-2,33,4,2,,,,
Q321002566-1,31,3,2,,,,
Q321002571-1,31,2,2,,,,
Q321002571-2,31,4,2,,,,
