"","Issue","top_word"
"1",4,"apply"
"2",4,"torque"
"3",4,"mismatch"
"4",4,"position"
"5",4,"repair"
"6",4,"bolt"
"7",4,"agreement"
"8",4,"production"
"9",4,"scrap"
"10",4,"decision"
"11",4,"reduce"
"12",4,"cost"
"13",4,"time"
"14",3,"1031"
"15",3,"holes"
"16",3,"frame"
"17",3,"mount"
"18",3,"g05363136"
"19",3,"pilot"
"20",3,"require"
"21",4,"b0201074"
"22",2,"strap"
"23",2,"spar"
"24",2,"g05530400"
"25",2,"b0207017ck3"
"26",2,"b0205017ad3"
"27",2,"zone"
"28",2,"fasntner"
"29",2,"request"
"30",1,"cleat"
"31",1,"engineering"
"32",1,"draw"
"33",1,"b0205016ad5"
"34",1,"fastaner"
"35",1,"collar"
"36",1,"b0206016cy5"
"37",1,"1590"
"38",1,"inverted"
"39",1,"g05530254"
"40",1,"stabilizer"
"41",1,"g05530591"
"42",1,"pitch"
"43",1,"g05530252"
"44",1,"g05530518"
"45",1,"g05530529"
"46",1,"g05530250"
"47",1,"g05530248"
"48",1,"g05530245"
"49",1,"rivet"
"50",2,"edit"
"51",3,"q320021081"
"52",2,"g05530121"
"53",1,"q321003464"
"54",1,"q321002158"
"55",3,"q321001450"
"56",2,"q321004681"
"57",2,"quality"
"58",2,"q321004660"
"59",3,"q321006038"
"60",1,"q321006422"
"61",1,"q321008409"
"62",1,"q321008957"
"63",1,"70113"
"64",1,"q321009770"
"65",1,"3000169938"
"66",1,"change"
"67",1,"create"
"68",1,"70109"
"69",1,"70097"
"70",1,"70104"
"71",2,"q321000501"
"72",2,"q321000502"
"73",2,"q321001854"
"74",2,"g05530119"
"75",2,"q321001855"
"76",2,"q321001134"
"77",2,"q321001138"
"78",1,"70094"
"79",1,"70095"
"80",1,"lite"
"81",1,"q321000983"
"82",1,"70101"
"83",1,"70102"
"84",1,"70100"
"85",1,"70103"
"86",1,"70106"
"87",1,"70108"
"88",1,"q321007198"
