"","Issue","top_word"
"1",2,"g05291600"
"2",2,"instl"
"3",2,"cargo"
"4",2,"access"
"5",2,"zones"
"6",2,"drawing"
"7",2,"installation"
"8",2,"time"
"9",2,"team"
"10",2,"ms21919wde5"
"11",2,"draw"
"12",2,"ms21919wde3"
"13",2,"attachement"
"14",2,"q321003378"
"15",2,"q321004298"
"16",1,"refer"
"17",1,"location"
"18",1,"exist"
"19",1,"condition"
"20",1,"stiffener"
"21",1,"press"
"22",1,"g05365510"
"23",1,"cpc"
"24",1,"pressure"
"25",1,"bulkhead"
"26",1,"g02193008"
"27",1,"g02193007"
"28",1,"standoff"
"29",1,"upright"
"30",1,"loop"
"31",1,"m85052"
"32",1,"washer"
"33",1,"b0201081ck3"
"34",1,"clearance"
"35",1,"3000152390"
"36",1,"create"
"37",1,"change"
"38",1,"space"
"39",1,"bap"
"40",1,"require"
"41",1,"q320003395"
"42",1,"q320004614"
"43",1,"q320017825"
"44",1,"query"
"45",1,"raise"
"46",1,"3356"
"47",2,"q321006724"
"48",1,"note"
"49",1,"decide"
"50",1,"continue"
"51",1,"process"
"52",1,"q321006033"
"53",2,"q321007254"
"54",1,"q321003038"
"55",1,"foul"
"56",2,"q321009791"
"57",2,"q321010229"
"58",1,"q321001615"
"59",1,"q320023179"
"60",1,"q321000806"
"61",1,"q321004925"
