"","Issue","top_word"
"1",4,"g05363449"
"2",2,"shooting"
"3",2,"characteristic"
"4",2,"station"
"5",2,"agx997"
"6",2,"fuselage"
"7",2,"g05360000"
"8",2,"coordinate"
"9",2,"measure"
"10",2,"offset"
"11",2,"value"
"12",8,"g05363664"
"13",8,"g05363953"
"14",2,"deviation"
"15",2,"g00653060"
"16",6,"tray"
"17",6,"fidex"
"18",6,"g05372651"
"19",6,"g05363284"
"20",6,"1070"
"21",2,"desviation"
"22",1,"g05450605"
"23",5,"q320018817"
"24",5,"q320019922"
"25",5,"q320020524"
"26",5,"q320021109"
"27",5,"q320021892"
"28",5,"g05364510"
"29",5,"washer"
"30",5,"create"
"31",5,"ensure"
"32",5,"add"
"33",5,"provide"
"34",5,"safety"
"35",5,"comment"
"36",5,"consideration"
"37",5,"meet"
"38",5,"gapping"
"39",5,"bladder"
"40",5,"bring"
"41",5,"head"
"42",5,"process"
"43",5,"leak"
"44",5,"test"
"45",5,"tank"
"46",5,"system"
"47",5,"complete"
"48",5,"mx770"
"49",5,"281001"
"50",5,"section"
"51",5,"removal"
"52",5,"rework"
"53",6,"mooring"
"54",6,"g05363926"
"55",6,"positionate"
"56",6,"not"
"57",6,"beetwen"
"58",6,"spar"
"59",8,"g05363667"
"60",8,"g05361757"
"61",8,"g05363954"
"62",5,"disposition"
"63",5,"review"
"64",2,"sect"
"65",2,"g00606104"
"66",2,"meassurement"
"67",6,"q321004748"
"68",6,"q321000845"
"69",5,"q321000814"
"70",5,"eliminate"
"71",5,"approve"
"72",6,"catwalk"
"73",6,"g05365068"
"74",6,"q321006610"
"75",3,"firewall"
"76",3,"g05397211"
"77",3,"g05397210"
"78",3,"protg"
"79",3,"g05391107"
"80",3,"g05391109"
"81",3,"g05391101"
"82",3,"surround"
"83",5,"q320022772"
"84",3,"query"
"85",3,"3556"
"86",1,"g05363451"
"87",1,"g05450611"
"88",2,"time"
"89",2,"butt"
"90",7,"g05450620"
"91",7,"g05361500"
