"","Issue","top_word"
"125",3,"replace"
"126",10,"q320020980"
"127",10,"q320021111"
"128",10,"q320022121"
"129",10,"ident"
"130",10,"line"
"131",10,"b0314020"
"132",10,"g02895104"
"133",10,"trap"
"134",10,"saddle"
"135",10,"b0305064"
"136",10,"g02895000"
"137",10,"vent"
"138",10,"isolate"
"139",10,"g05372826"
"140",10,"g05372801"
"141",10,"directin"
"142",10,"bend"
"143",10,"suggest"
"144",10,"fouling"
"145",10,"clashing"
"146",6,"q321005154"
"147",1,"70110"
"148",10,"q321006421"
"149",10,"70104"
"150",10,"70115"
"151",6,"q321005967"
"152",5,"q321007242"
"153",4,"conflict"
"154",4,"g02585204"
"155",4,"damp"
"156",4,"bond"
"157",4,"incorporate"
"158",4,"bulkhead"
"159",4,"g05365500"
"160",4,"stiffener"
"161",4,"damping"
"162",4,"insulation"
"163",4,"rellocation"
"164",4,"punch"
"165",4,"gup386501"
"166",4,"procedure"
"167",4,"dam"
"168",4,"scope"
"169",4,"position"
"170",4,"page"
"171",4,"rellocate"
"172",4,"locate"
"173",4,"q321000116"
"174",6,"q321006862"
"175",4,"q321001503"
"176",11,"q321002445"
"177",11,"q320018817"
"178",11,"q320019922"
"179",11,"q320020524"
"180",11,"q320021109"
"181",11,"q320021892"
"182",11,"q321000814"
"183",11,"washer"
"184",11,"change"
"185",11,"clearance"
"186",11,"add"
"187",11,"comment"
"188",11,"review"
"189",11,"eliminate"
"190",11,"approve"
"191",11,"consideration"
"192",11,"safety"
"193",11,"meet"
"194",11,"gapping"
"195",11,"bolt"
"196",11,"bladder"
"197",11,"bring"
"198",11,"head"
"199",11,"process"
"200",11,"leak"
"201",11,"mx770"
"202",11,"281001"
"203",11,"section"
"204",11,"removal"
"205",11,"rework"
"206",4,"q321001504"
"207",4,"q321001943"
"208",4,"request"
"209",6,"q321008659"
"210",3,"q321006271"
"211",9,"q321005486"
"212",9,"q321005488"
"213",6,"q321008661"
"214",6,"70114"
"215",11,"q321005979"
"216",1,"q319015817"
"217",1,"q320000807"
"218",1,"q320002337"
"219",1,"q320002386"
"220",1,"q320004945"
"221",1,"q32009007"
"222",1,"q320018992"
"223",1,"q3210015415"
"224",1,"torque"
"225",4,"punching"
"226",9,"q321005489"
"227",3,"q320022394"
"228",3,"q321008778"
"229",4,"70109"
"230",4,"enm386522"
"231",5,"g05364737"
"232",4,"q321002179"
"233",4,"standard"
"234",4,"70111"
"235",4,"70119"
"236",3,"obvi"
"237",5,"g05364719"
"238",5,"q321005759"
"239",11,"q321007533"
"240",9,"q321005496"
"241",9,"q321005490"
"242",5,"q320017766"
"243",5,"q320018633"
"244",5,"q321003362"
"245",5,"g05361001"
"246",5,"strap"
"247",5,"g05362032"
"248",5,"relevant"
"249",5,"b0206002ag5"
"250",5,"q321008839"
"251",5,"g05364724"
"252",5,"g05364738"
"253",11,"q321003591"
"254",11,"q321005639"
"255",11,"q321006315"
"256",11,"q321006763"
"257",3,"q320012525"
"258",3,"q320016021"
"259",3,"q320016598"
"260",3,"q320017120"
"261",3,"g05364600"
"262",3,"form"
"263",3,"g05364661"
"264",3,"frame"
"265",3,"fs904"
"266",3,"g05361851"
"267",3,"show"
"268",3,"q320022696"
"269",3,"q321004730"
"270",3,"q321005374"
"271",3,"q321006761"
"272",3,"q321007541"
"273",10,"q320018573"
"274",4,"move"
"275",4,"directio"
