"","Issue","top_word"
"1",8,"exist"
"2",8,"g05372719"
"3",8,"restrictor"
"4",8,"refuel"
"5",8,"defuel"
"6",8,"0080"
"7",5,"oversize"
"8",5,"share"
"9",7,"g05372852"
"10",7,"fillet"
"11",7,"missing"
"12",7,"gx820903080"
"13",5,"panel"
"14",5,"q320011069"
"15",5,"q320013158"
"16",5,"q320013805"
"17",5,"q320015995"
"18",5,"clean"
"19",5,"g05372226"
"20",5,"g05364210"
"21",5,"stringer"
"22",5,"g05362618"
"23",5,"relief"
"24",8,"reffer"
"25",8,"q321006963"
"26",5,"q320017254"
"27",2,"q320016296"
"28",2,"q320016488"
"29",2,"q320016946"
"30",2,"q320016947"
"31",2,"q320017621"
"32",2,"q320020866"
"33",2,"q320013577"
"34",2,"q320013501"
"35",2,"q320013740"
"36",2,"restriction"
"37",2,"ms20470e5"
"38",2,"lite"
"39",2,"b0206016cy5"
"40",2,"alternate"
"41",2,"collar"
"42",2,"plate"
"43",2,"g05364666"
"44",2,"angle"
"45",2,"g05364544"
"46",3,"length"
"47",3,"width"
"48",9,"q321005455"
"49",9,"discrepant"
"50",9,"bushing"
"51",9,"flange"
"52",9,"interference"
"53",9,"b0309014ak06"
"54",9,"pack"
"55",9,"g05372301"
"56",9,"undersize"
"57",9,"g05372104"
"58",9,"3750"
"59",9,"3758"
"60",9,"3620"
"61",9,"b0309017"
"62",9,"affect"
"63",9,"manufactur"
"64",9,"strategy"
"65",9,"size"
"66",9,"site"
"67",9,"drilling"
"68",9,"plan"
"69",9,"document"
"70",6,"manufacturer"
"71",6,"handle"
"72",6,"ec847"
"73",6,"velcro"
"74",6,"hook"
"75",6,"tacky"
"76",6,"data"
"77",6,"sheet"
"78",6,"analysis"
"79",6,"statement"
"80",6,"mean"
"81",6,"represent"
"82",6,"defect"
"83",6,"result"
"84",6,"attach"
"85",6,"corresponds"
"86",6,"specimen"
"87",1,"q321000138"
"88",1,"damage"
"89",1,"b0305127"
"90",1,"0060"
"91",1,"b0305078"
"92",1,"band"
"93",1,"slot"
"94",1,"0050"
"95",1,"testing"
"96",1,"evidence"
"97",1,"pressure"
"98",1,"option"
"99",1,"conform"
"100",1,"documentation"
"101",1,"q320015415"
"102",1,"execute"
"103",1,"propose"
"104",3,"q320017860"
"105",3,"q320018889"
"106",3,"q320019504"
"107",3,"gaps"
"108",3,"g05364500"
"109",3,"g05364589"
"110",3,"g05364545"
"111",3,"g05364540"
"112",3,"g05364588"
"113",3,"g05364542"
"114",3,"g05375300"
"115",3,"g05375340"
"116",3,"evaluation"
"117",3,"touch"
"118",3,"shank"
"119",3,"shown"
"120",3,"faying"
"121",3,"surface"
"122",3,"exceed"
"123",3,"gusset"
"124",3,"remove"
