"","Issue","top_word"
"1",3,"waste"
"2",3,"g05370907"
"3",7,"elongated"
"4",7,"g05372140"
"5",7,"b0205017ad4"
"6",7,"standoff"
"7",4,"q319006789"
"8",4,"q319009542"
"9",4,"positioning"
"10",4,"g05362401"
"11",4,"g05362084"
"12",6,"tooling"
"13",6,"g05379403"
"14",6,"contaminant"
"15",6,"humidity"
"16",6,"drawing"
"17",6,"protect"
"18",6,"expose"
"19",10,"finish"
"20",10,"code"
"21",10,"color"
"22",10,"primer"
"23",10,"g00651302"
"24",10,"g00651301"
"25",10,"bam"
"26",10,"topcoat"
"27",10,"center"
"28",5,"test"
"29",5,"g05373026"
"30",5,"resistance"
"31",5,"mili"
"32",7,"q321003961"
"33",7,"q321004984"
"34",7,"raise"
"35",7,"4420"
"36",7,"2021"
"37",7,"determinate"
"38",5,"result"
"39",5,"fter"
"40",5,"bx700"
"41",5,"518003"
"42",5,"block"
"43",5,"call"
"44",5,"gx820502070"
"45",5,"0084"
"46",5,"operation"
"47",5,"1200"
"48",5,"description"
"49",5,"instl"
"50",5,"g05364000"
"51",5,"obtain"
"52",5,"record"
"53",5,"discrepant"
"54",5,"suggest"
"55",5,"value"
"56",5,"register"
"57",5,"advise"
"58",1,"engine"
"59",1,"g05366015"
"60",1,"g05362078"
"61",9,"q320022895"
"62",9,"70108"
"63",9,"70120"
"64",9,"quantity"
"65",9,"g05362013"
"66",9,"g05362120"
"67",9,"stage"
"68",9,"gx820802140"
"69",9,"2369562"
"70",9,"page"
"71",9,"0098"
"72",9,"collar"
"73",9,"fabricate"
"74",9,"aspect"
"75",9,"eliminate"
"76",6,"3000167678"
"77",6,"q321003584"
"78",6,"q321005981"
"79",6,"cover"
"80",6,"aircraft"
"81",6,"70105"
"82",6,"70115"
"83",6,"base"
"84",6,"qapi"
"85",6,"meet"
"86",6,"minimum"
"87",6,"fillet"
"88",6,"seal"
"89",6,"tolling"
"90",8,"4923"
"91",8,"g05372234"
"92",5,"q321002971"
"93",1,"g05363534"
"94",2,"b0201074"
"95",2,"gap"
"96",2,"g05364113"
"97",10,"g05379171"
"98",10,"g05362062"
"99",10,"g05361989"
"100",10,"g05361987"
"101",10,"g05361993"
"102",10,"g05361988"
"103",10,"g05361816"
"104",10,"g05361817"
"105",10,"g05379142"
"106",10,"g05361821"
"107",10,"g05361814"
"108",10,"g05361815"
"109",10,"g05361985"
"110",2,"g05364111"
"111",2,"gaps"
"112",2,"g05364112"
"113",2,"g05364161"
"114",2,"g05364178"
"115",10,"g05362068"
"116",10,"g05362034"
"117",10,"g05362057"
"118",10,"g05362412"
"119",10,"g05379140"
"120",10,"g05362087"
"121",10,"g05362090"
"122",2,"g05364204"
"123",5,"g05372026"
"124",2,"g05364275"
"125",2,"taper"
"126",1,"catia"
"127",1,"g05360010"
"128",8,"q321000617"
"129",8,"q318005416"
"130",8,"q320001122"
"131",8,"q321000817"
"132",8,"g05372276"
"133",8,"g05372387"
"134",8,"g05372236"
"135",8,"station"
"136",8,"g05372223"
"137",8,"locate"
"138",8,"radius"
"139",8,"g05361301"
"140",4,"q320009060"
"141",1,"sgtr"
"142",2,"fs881"
"143",2,"g05361001"
"144",2,"strg"
"145",2,"measurement"
"146",3,"distace"
"147",3,"radio"
"148",3,"2055"
"149",3,"1850"
"150",3,"1855"
"151",3,"lotaction"
"152",3,"g05370922"
"153",3,"g05370903"
"154",1,"q321002701"
"155",2,"gapping"
"156",2,"weslock"
"157",2,"fix"
"158",4,"q321001153"
"159",2,"g05364100"
"160",2,"measure"
"161",2,"g05362810"
"162",2,"shim"
"163",2,"g05364105"
"164",2,"g05362404"
"165",1,"q321000404"
"166",1,"g05361741"
"167",1,"g05362500"
