"RNC","word","lemma","upos"
"Q321008393-1","investigation","investigation","NOUN"
"Q321008393-1","tailcone","tailcone","NUM"
"Q321008393-1","1102","1102","NUM"
"Q321008393-1","btwn","between","NOUN"
"Q321008393-1","strg","strg","VERB"
"Q321008393-1","exist","exist","VERB"
"Q321008393-1","holes","hole","NOUN"
"Q321008393-1","mill","mill","NUM"
"Q321008393-1","splice","splice","NOUN"
"Q321008393-1","spar","spar","NOUN"
"Q321008393-1","barrel","barrel","NOUN"
"Q321008393-1","g05363447","g05363447","NUM"
"Q321008393-1","stage","stage","NOUN"
"Q321008393-1","fastener","fastener","NOUN"
"Q321008393-1","b0205020e5","b0205020e5","NUM"
"Q321008393-1","pitch","pitch","NOUN"
"Q321008393-1","issue","issue","NOUN"
"Q321008393-1","skin","skin","NOUN"
"Q321008393-1","g05394060","g05394060","NUM"
"Q321008393-1","edge","edge","NOUN"
"Q321008393-1","hole","hole","NOUN"
"Q321008468-1","1016","1016","NUM"
"Q321008468-1","assy","assy","NOUN"
"Q321008468-1","gaps","gap","NOUN"
"Q321008468-1","applying","apply","VERB"
"Q321008468-1","force","force","NOUN"
"Q321008468-1","uniform","uniform","NOUN"
"Q321008468-1","0.063","0.063","NUM"
"Q321008468-1","length","length","NOUN"
"Q321008468-1","16.00","16.00","NUM"
"Q321008468-1","fitting","fitting","NOUN"
"Q321008468-1","interface","interface","NOUN"
"Q321008468-1","spar","spar","NOUN"
"Q321008468-1","g05530213","g05530213","NUM"
"Q321008468-1","vstab","vstab","NOUN"
"Q321008468-1","g05530405","g05530405","NUM"
"Q321008468-1","0.034","0.034","NUM"
"Q321008468-1","affected","affect","VERB"
"Q321008468-1","laminated","laminate","VERB"
"Q321008468-1","g05363973","g05363973","NUM"
"Q321008468-1","fitting","fitting","VERB"
"Q321008468-1","interface","interface","VERB"
"Q321008468-1","front","front","NOUN"
"Q321008468-2","1016","1016","NUM"
"Q321008468-2","0.000","0.000","NUM"
"Q321008468-2","vstab","vstab","NOUN"
"Q321008468-2","g05530405","g05530405","NUM"
"Q321008468-2","angle","angle","NOUN"
"Q321008468-2","spar","spar","NOUN"
"Q321008468-2","g05530215","g05530215","NUM"
"Q321008468-2","exist","exist","VERB"
"Q321008468-2","taper","taper","NOUN"
"Q321008468-2","0.032","0.032","NUM"
"Q321008468-2","0.028","0.028","NUM"
"Q321008468-2","btwn","between","NOUN"
"Q321008468-2","contact","contact","NOUN"
"Q321008468-2","surface","surface","NOUN"
"Q321008468-2","pieces","piece","NOUN"
"Q321008468-2","length","length","NOUN"
"Q321008468-2","width","width","NOUN"
"Q321008582-1","1016","1016","NUM"
"Q321008582-1","exist","exist","VERB"
"Q321008582-1","strg","strg","NOUN"
"Q321008582-1","misaligned","misalign","VERB"
"Q321008582-1","condition","condition","NOUN"
"Q321008582-1","install","install","VERB"
"Q321008582-1","fittings","fitting","NOUN"
"Q321008582-1","drawing","draw","VERB"
"Q321008582-1","g05363921","g05363921","NUM"
"Q321008582-1","requirements","requirement","NOUN"
"Q321008582-1","misalignment","misalignment","NOUN"
"Q321008582-1","stringer","stringer","NOUN"
"Q321008582-1","fuse","fuse","NOUN"
"Q321008582-1","g05361754","g05361754","NUM"
"Q321008582-1","barrel","barrel","NOUN"
"Q321008582-1","g05363669","g05363669","NUM"
"Q321008582-1","step","step","NOUN"
"Q321008582-1","0.068","0.068","NUM"
"Q321008582-1","stgr","stgr","NOUN"
"Q321008582-1","g05363952","g05363952","NUM"
"Q321008582-1","g05361757","g05361757","NUM"
