"RNC","word","lemma","upos"
"Q321008582-1","g05363667","g05363667","NUM"
"Q321008582-1","0.043","0.043","NUM"
"Q321008582-1","g05363954","g05363954","NUM"
"Q321008582-1","refer","refer","VERB"
"Q321008586-1","q321004209","q321004209","NUM"
"Q321008586-1","achieve","achieve","VERB"
"Q321008586-1","installation","installation","NOUN"
"Q321008586-1","fairing","fairing","NOUN"
"Q321008586-1","g05530300","g05530300","NUM"
"Q321008586-1","angle","angle","NOUN"
"Q321008586-1","dorsal","dorsal","NOUN"
"Q321008586-1","fuse","fuse","NOUN"
"Q321008586-1","g05530232","g05530232","NUM"
"Q321008586-1","trimmed","trim","VERB"
"Q321008586-1","0.390","0.390","NUM"
"Q321008586-1","angles","angle","NOUN"
"Q321008586-1","channel","channel","NOUN"
"Q321008586-1","assy","assy","NOUN"
"Q321008586-1","g05530230","g05530230","NUM"
"Q321008586-1","clearance","clearance","NOUN"
"Q321008586-1","angles","angles","NOUN"
"Q321008586-1","0.600","0.600","NUM"
"Q321008586-1","minimum","minimum","NOUN"
"Q321008586-1","adjacent","adjacend","VERB"
"Q321008586-1","fastener","fastener","NOUN"
"Q321008586-1","b0205017ad3","b0205017ad3","NOUN"
"Q321008586-1","0.650","0.650","NUM"
"Q321008624-1","1016","1016","NUM"
"Q321008624-1","exist","exist","VERB"
"Q321008624-1","strg","strg","NOUN"
"Q321008624-1","misaligned","misalign","VERB"
"Q321008624-1","condition","condition","NOUN"
"Q321008624-1","install","install","VERB"
"Q321008624-1","fittings","fitting","NOUN"
"Q321008624-1","drawing","draw","VERB"
"Q321008624-1","g05363921","g05363921","NUM"
"Q321008624-1","requirements","requirement","NOUN"
"Q321008624-1","misalignment","misalignment","NOUN"
"Q321008624-1","stringer","stringer","NOUN"
"Q321008624-1","fuse","fuse","NOUN"
"Q321008624-1","g05362220","g05362220","NUM"
"Q321008624-1","stringer","stringer","VERB"
"Q321008624-1","barrel","barrel","NOUN"
"Q321008624-1","g05363627","g05363627","NUM"
"Q321008624-1","step","step","NOUN"
"Q321008624-1","0.025","0.025","NUM"
"Q321008624-1","gaps","gaps","NOUN"
"Q321008624-1","strgs","strg","NOUN"
"Q321008624-1","fitting","fitting","NOUN"
"Q321008624-1","stgr","stgr","NOUN"
"Q321008624-1","g05363957","g05363957","NUM"
"Q321008624-1","g05363956","g05363956","NUM"
"Q321008624-1","g05361742","g05361742","NUM"
"Q321008624-1","g05363629","g05363629","NUM"
"Q321008624-1","0.050","0.050","NUM"
"Q321008624-1","g05363951","g05363951","NUM"
"Q321008624-1","g05361754","g05361754","NUM"
"Q321008624-1","g05363664","g05363664","NUM"
"Q321008624-1","0.080","0.080","NUM"
"Q321008624-1","g05363953","g05363953","NUM"
"Q321008624-1","g05361757","g05361757","NUM"
"Q321008624-1","g05363667","g05363667","NUM"
"Q321008624-1","0.060","0.060","NUM"
"Q321008624-1","g05363954","g05363954","NUM"
"Q321008624-1","refer","refer","VERB"
"Q321008624-2","1016","1016","NUM"
"Q321008624-2","exist","exist","VERB"
"Q321008624-2","strg","strg","NOUN"
"Q321008624-2","misaligned","misalign","VERB"
"Q321008624-2","condition","condition","NOUN"
"Q321008624-2","install","install","VERB"
"Q321008624-2","fittings","fitting","NOUN"
"Q321008624-2","drawing","draw","VERB"
"Q321008624-2","g05363921","g05363921","NUM"
"Q321008624-2","requirements","requirement","NOUN"
"Q321008624-2","misalignment","misalignment","NOUN"
"Q321008624-2","stringer","stringer","NOUN"
"Q321008624-2","fuse","fuse","NOUN"
"Q321008624-2","g05362220","g05362220","NUM"
"Q321008624-2","stringer","stringer","VERB"
"Q321008624-2","barrel","barrel","NOUN"
"Q321008624-2","g05363627","g05363627","NUM"
"Q321008624-2","step","step","NOUN"
"Q321008624-2","0.050","0.050","NUM"
"Q321008624-2","gaps","gaps","NOUN"
"Q321008624-2","strgs","strg","NOUN"
"Q321008624-2","fitting","fitting","NOUN"
"Q321008624-2","stgr","stgr","NOUN"
"Q321008624-2","g05363957","g05363957","NUM"
"Q321008624-2","g05363956","g05363956","NUM"
"Q321008624-2","g05361742","g05361742","NUM"
"Q321008624-2","g05363629","g05363629","NUM"
"Q321008624-2","g05363951","g05363951","NUM"
"Q321008624-2","g05361754","g05361754","NUM"
"Q321008624-2","g05363669","g05363669","NUM"
"Q321008624-2","0.080","0.080","NUM"
"Q321008624-2","g05363952","g05363952","NUM"
"Q321008624-2","g05361757","g05361757","NUM"
"Q321008624-2","g05363667","g05363667","NUM"
"Q321008624-2","0.070","0.070","NUM"
"Q321008624-2","g05363954","g05363954","NUM"
"Q321008624-2","refer","refer","VERB"
"Q321008755-1","ncrs","ncr","NOUN"
"Q321008755-1","reference","reference","NOUN"
"Q321008755-1","fuse","fuse","NOUN"
"Q321008755-1","assy","assy","NOUN"
"Q321008755-1","duct","duct","NOUN"
"Q321008755-1","instalation","instalation","NOUN"
"Q321008755-1","exists","exist","VERB"
"Q321008755-1","condition","condition","NOUN"
"Q321008755-1","g02100001","g02100001","NUM"
"Q321008755-1","fitting","fit","VERB"
"Q321008755-1","g05372173","g05372173","NUM"
"Q321008755-1","bolt","bolt","NOUN"
"Q321008755-1","nas6403u7","nas6403u7","NUM"
"Q321008755-1","fairing","fairing","NOUN"
"Q321008755-1","located","locate","VERB"
"Q321008755-1","discrepancy","discrepancy","NOUN"
"Q321008755-1","mismatch","mismatch","NOUN"
"Q321008755-1","0.090","0.090","NUM"
"Q321008755-1","fitting","fitting","VERB"
"Q321008755-1","0.300","0.300","NUM"
"Q321008755-1","note","note","NOUN"
"Q321008755-1","hole","hole","NOUN"
"Q321008755-1","marked","mark","VERB"
"Q321008755-1","direction","direction","NOUN"
"Q321008755-1","respect","respect","NOUN"
"Q321008755-1","grades","grade","NOUN"
"Q321008755-1","fitting","fitte","VERB"
"Q321008755-1","details","detail","NOUN"
"Q321008813-1","exist","exist","VERB"
"Q321008813-1","elongated","elongate","VERB"
"Q321008813-1","hole","hole","NOUN"
"Q321008813-1","1016","1016","NUM"
"Q321008813-1","strg","strg","VERB"
"Q321008813-1","affected","affect","VERB"
"Q321008813-1","g05363488","g05363488","NUM"
"Q321008813-1","skin","skin","NOUN"
"Q321008813-1","panel","panel","NOUN"
"Q321008813-1","barrel","barrel","NOUN"
"Q321008813-1","issue","issue","NOUN"
"Q321008813-1","g05361003","g05361003","NUM"
"Q321008813-1","longeron","longeron","NOUN"
"Q321008813-1","platform","platform","NOUN"
"Q321008813-1","fuse","fuse","NOUN"
"Q321008813-1","0.370","0.370","NUM"
"Q321008813-1","0.185","0.185","NUM"
"Q321008813-1","hole","heal","NOUN"
"Q321008813-1","clean","clean","VERB"
"Q321008813-1","0.201","0.201","NUM"
"Q321008813-1","pitch","pitch","NOUN"
"Q321008813-1","0.950","0.950","NUM"
"Q321008813-1","b0206002ag6","b0206002ag6","NUM"
"Q321008820-2","1016","1016","NUM"
"Q321008820-2","mooring","mooring","NOUN"
"Q321008820-2","barrel","barrel","NOUN"
"Q321008820-2","g05363926","g05363926","NUM"
"Q321008820-2","positionated","positionate","VERB"
"Q321008820-2","location","location","NOUN"
"Q321008820-2","noted","not","VERB"
"Q321008820-2","taper","taper","NOUN"
"Q321008820-2","condition","condition","NOUN"
"Q321008820-2","beetwen","beetwen","VERB"
"Q321008820-2","spar","spar","NOUN"
"Q321008820-2","fuse","fuse","NOUN"
"Q321008820-2","g05363534","g05363534","NUM"
"Q321008820-2","0.006","0.006","NUM"
"Q321008820-2","0.018","0.018","NUM"
"Q321008820-2","length","length","NOUN"
"Q321008820-2","3.200","3.200","NUM"
"Q321008820-2","width","width","NOUN"
"Q321008820-2","0.850","0.850","NUM"
"Q321008820-2","frame","frame","NOUN"
"Q321008820-1","location","location","NOUN"
"Q321008820-1","1016","1016","NUM"
"Q321008820-1","1031","1031","NUM"
"Q321008820-1","drawing","draw","VERB"
"Q321008820-1","g05362500","g05362500","NUM"
"Q321008820-1","exist","exist","VERB"
"Q321008820-1","hole","hole","NOUN"
"Q321008820-1","fuse","fuse","NOUN"
"Q321008820-1","g05362220","g05362220","NUM"
"Q321008820-1","pitch","pitch","NOUN"
"Q321008820-1","note","note","NOUN"
"Q321008820-1","holes","holes","NOUN"
"Q321008820-1","g05363956","g05363956","NUM"
"Q321008820-1","fitting","fitting","VERB"
"Q321008820-1","issue","issue","NOUN"
"Q321008820-1","g05363957","g05363957","NOUN"
"Q321008820-1","attchments","attchment","NOUN"
"Q321008886-1","1016","1016","NUM"
"Q321008886-1","1031","1031","NUM"
"Q321008886-1","strg","strg","VERB"
"Q321008886-1","exist","exist","VERB"
"Q321008886-1","condition","condition","NOUN"
"Q321008886-1","strg","strg","NOUN"
"Q321008886-1","g05363963","g05363963","NUM"
"Q321008886-1","fitting","fit","VERB"
"Q321008886-1","g05363966","g05363966","NUM"
"Q321008886-1","fitting","fitting","VERB"
"Q321008886-1","inbd","inbd","VERB"
"Q321008886-1","affected","affect","VERB"
"Q321008886-1","g05363499","g05363499","NUM"
"Q321008886-1","splice","splice","NOUN"
"Q321008886-1","fuse","fuse","NOUN"
"Q321008886-1","g05363488","g05363488","NUM"
"Q321008886-1","skin","skin","NOUN"
"Q321008886-1","panel","panel","NOUN"
"Q321008886-1","barrel","barrel","NOUN"
"Q321008886-1","0.010","0.010","NUM"
"Q321008886-1","length","length","NOUN"
"Q321008886-1","1.400","1.400","NUM"
"Q321008886-1","0.008","0.008","NUM"
"Q321008886-1","1.200","1.200","NUM"
"Q321008886-1","0.013","0.013","NUM"
"Q321008923-1","1016","1016","NUM"
"Q321008923-1","hole","hole","NOUN"
"Q321008923-1","follow","follow","NOUN"
"Q321008923-1","0.323","0.323","NUM"
"Q321008923-1","g05530213","g05530213","NUM"
"Q321008923-1","fitting","fitting","NOUN"
"Q321008923-1","interface","interface","NOUN"
"Q321008923-1","spar","spar","NOUN"
"Q321008923-1","0.800","0.800","NUM"
"Q321008923-1","g05361003","g05361003","NOUN"
"Q321008923-1","longeron","longeron","NOUN"
"Q321008923-1","platform","platform","NOUN"
"Q321008923-1","fuse","fuse","NOUN"
"Q321008923-1","issue","issue","NOUN"
"Q321008923-1","pitch","pitch","NOUN"
"Q321008923-1","1.500","1.500","NUM"
"Q321008923-1","attachtment","attachtment","NOUN"
"Q321008999-1","1016","1016","NUM"
"Q321008999-1","mooring","mooring","NOUN"
"Q321008999-1","barrel","barrel","NOUN"
"Q321008999-1","g05363926","g05363926","NUM"
"Q321008999-1","positionated","positionate","VERB"
"Q321008999-1","location","location","NOUN"
"Q321008999-1","noted","not","VERB"
"Q321008999-1","taper","taper","NOUN"
"Q321008999-1","condition","condition","NOUN"
"Q321008999-1","beetwen","beetwen","VERB"
"Q321008999-1","spar","spar","NOUN"
"Q321008999-1","fuse","fuse","NOUN"
"Q321008999-1","g05363534","g05363534","NUM"
"Q321008999-1","0.010","0.010","NUM"
"Q321008999-1","0.023","0.023","NUM"
"Q321008999-1","length","length","NOUN"
"Q321008999-1","3.200","3.200","NUM"
"Q321008999-1","width","width","NOUN"
"Q321008999-1","0.850","0.850","NUM"
"Q321008999-1","frame","frame","NOUN"
"Q321009113-1","q321004209","q321004209","NUM"
"Q321009113-1","achieve","achieve","VERB"
"Q321009113-1","installation","installation","NOUN"
"Q321009113-1","fairing","fairing","NOUN"
"Q321009113-1","g05530300","g05530300","NUM"
"Q321009113-1","angle","angle","NOUN"
"Q321009113-1","dorsal","dorsal","NOUN"
"Q321009113-1","fuse","fuse","NOUN"
"Q321009113-1","g05530232","g05530232","NUM"
"Q321009113-1","trimmed","trim","VERB"
"Q321009113-1","0.530","0.530","NUM"
"Q321009113-1","angles","angle","NOUN"
"Q321009113-1","channel","channel","NOUN"
"Q321009113-1","assy","assy","NOUN"
"Q321009113-1","g05530230","g05530230","NUM"
"Q321009113-1","clearance","clearance","NOUN"
"Q321009113-1","angles","angles","NOUN"
"Q321009113-1","0.810","0.810","NUM"
"Q321009113-1","minimum","minimum","NOUN"
"Q321009113-1","adjacent","adjacend","VERB"
"Q321009113-1","fastener","fastener","NOUN"
"Q321009113-1","b0205017ad3","b0205017ad3","NOUN"
"Q321009113-1","0.470","0.470","NUM"
"Q321009175-1","1016","1016","NUM"
"Q321009175-1","1031","1031","NUM"
"Q321009175-1","exist","exist","VERB"
"Q321009175-1","strg","strg","NOUN"
"Q321009175-1","misaligned","misalign","VERB"
"Q321009175-1","condition","condition","NOUN"
"Q321009175-1","install","install","VERB"
"Q321009175-1","fittings","fitting","NOUN"
"Q321009175-1","drawing","draw","VERB"
"Q321009175-1","g05363921","g05363921","NUM"
"Q321009175-1","requirements","requirement","NOUN"
"Q321009175-1","uniform","uniform","NOUN"
"Q321009175-1","misalignment","misalignment","NOUN"
"Q321009175-1","stringer","stringer","NOUN"
"Q321009175-1","fuse","fuse","NOUN"
"Q321009175-1","g05361742","g05361742","NUM"
"Q321009175-1","barrel","barrel","NOUN"
"Q321009175-1","g05363629","g05363629","NUM"
"Q321009175-1","step","step","NOUN"
"Q321009175-1","stgr","stgr","NOUN"
"Q321009175-1","g05363951","g05363951","NUM"
"Q321009175-1","g05361754","g05361754","NUM"
"Q321009175-1","g05363664","g05363664","NUM"
"Q321009175-1","g05363953","g05363953","NUM"
"Q321009175-1","g05361718","g05361718","NUM"
"Q321009175-1","g05363666","g05363666","NUM"
"Q321009175-1","fitting","fitte","VERB"
"Q321009175-1","strg","strg","VERB"
"Q321009175-1","g05363954","g05363954","NUM"
"Q321009175-1","g05361757","g05361757","NUM"
"Q321009175-1","g05363667","g05363667","NUM"
"Q321009175-2","1016","1016","NUM"
"Q321009175-2","1031","1031","NUM"
"Q321009175-2","exist","exist","VERB"
"Q321009175-2","strg","strg","NOUN"
"Q321009175-2","misaligned","misalign","VERB"
"Q321009175-2","condition","condition","NOUN"
"Q321009175-2","install","install","VERB"
"Q321009175-2","fittings","fitting","NOUN"
"Q321009175-2","drawing","draw","VERB"
"Q321009175-2","g05363921","g05363921","NUM"
"Q321009175-2","requirements","requirement","NOUN"
"Q321009175-2","uniform","uniform","NOUN"
"Q321009175-2","misalignment","misalignment","NOUN"
"Q321009175-2","stringer","stringer","NOUN"
"Q321009175-2","barrel","barrel","NOUN"
"Q321009175-2","g05363629","g05363629","NUM"
"Q321009175-2","fuse","fuse","NOUN"
"Q321009175-2","g05361742","g05361742","NUM"
"Q321009175-2","step","step","NOUN"
"Q321009175-2","g05363951","g05363951","NUM"
"Q321009175-2","g05363669","g05363669","NUM"
"Q321009175-2","g05361754","g05361754","NUM"
"Q321009175-2","stgr","stgr","NOUN"
"Q321009175-2","g05363952","g05363952","NUM"
"Q321009175-2","details","detail","NOUN"
"Q321009306-1","1016","1016","NUM"
"Q321009306-1","assy","assy","NOUN"
"Q321009306-1","gaps","gap","NOUN"
"Q321009306-1","applying","apply","VERB"
"Q321009306-1","force","force","NOUN"
"Q321009306-1","uniform","uniform","NOUN"
"Q321009306-1","0.050","0.050","NUM"
"Q321009306-1","length","length","NOUN"
"Q321009306-1","16.00","16.00","NUM"
"Q321009306-1","fitting","fitting","NOUN"
"Q321009306-1","interface","interface","NOUN"
"Q321009306-1","spar","spar","NOUN"
"Q321009306-1","g05530213","g05530213","NUM"
"Q321009306-1","vstab","vstab","NOUN"
"Q321009306-1","g05530405","g05530405","NUM"
"Q321009306-1","0.040","0.040","NUM"
"Q321009306-1","laminated","laminate","VERB"
"Q321009306-1","g05363973","g05363973","NUM"
"Q321009306-1","fitting","fitting","VERB"
"Q321009306-1","interface","interface","VERB"
"Q321009306-1","front","front","NOUN"
"Q321009306-2","1016","1016","NUM"
"Q321009306-2","assy","assy","NOUN"
"Q321009306-2","gaps","gap","NOUN"
"Q321009306-2","applying","apply","VERB"
"Q321009306-2","force","force","NOUN"
"Q321009306-2","0.040","0.040","NUM"
"Q321009306-2","length","length","NOUN"
"Q321009306-2","13.00","13.00","NUM"
"Q321009306-2","fitting","fitting","NOUN"
"Q321009306-2","interface","interface","NOUN"
"Q321009306-2","spar","spar","NOUN"
"Q321009306-2","g05530213","g05530213","NUM"
"Q321009306-2","frame","frame","NOUN"
"Q321009306-2","g05363534","g05363534","NUM"
"Q321009306-2","laminated","laminated","VERB"
"Q321009306-2","g05363972","g05363972","NUM"
"Q321009306-3","1016","1016","NUM"
"Q321009306-3","0.000","0.000","NUM"
"Q321009306-3","spar","spar","NOUN"
"Q321009306-3","front","front","NOUN"
"Q321009306-3","vstab","vstab","NOUN"
"Q321009306-3","g05530405","g05530405","NUM"
"Q321009306-3","angle","angle","NOUN"
"Q321009306-3","g05530215","g05530215","NUM"
"Q321009306-3","exist","exist","VERB"
"Q321009306-3","taper","taper","NOUN"
"Q321009306-3","0.033","0.033","NUM"
"Q321009306-3","0.040","0.040","NUM"
"Q321009306-3","btwn","between","NOUN"
"Q321009306-3","contact","contact","NOUN"
"Q321009306-3","surface","surface","NOUN"
"Q321009306-3","pieces","piece","NOUN"
"Q321009306-3","length","length","NOUN"
"Q321009306-3","width","width","NOUN"
"Q321009321-1","investigation","investigation","NOUN"
"Q321009321-1","1016","1016","NUM"
"Q321009321-1","1031","1031","NUM"
"Q321009321-1","strg","strg","VERB"
"Q321009321-1","exist","exist","VERB"
"Q321009321-1","redundant","redundant","NOUN"
"Q321009321-1","hole","hole","NOUN"
"Q321009321-1","stringer","stringer","NOUN"
"Q321009321-1","barrel","barrel","NOUN"
"Q321009321-1","0.099","0.099","NUM"
"Q321009321-1","edge","edge","NOUN"
"Q321009321-1","distance","distance","NOUN"
"Q321009321-1","0.270","0.270","NUM"
"Q321009321-1","radius","radius","NOUN"
"Q321009321-1","0.150","0.150","NUM"
"Q321009321-1","pitch","pitch","NOUN"
"Q321009321-1","0.470","0.470","NUM"
"Q321009321-1","details","detail","NOUN"
"Q321009368-1","1016","1016","NUM"
"Q321009368-1","holes","hole","NOUN"
"Q321009368-1","size","size","NOUN"
"Q321009368-1","follow","follow","NOUN"
"Q321009368-1","hole","hole","NOUN"
"Q321009368-1","0.3230","0.3230","NUM"
"Q321009368-1","g05530213","g05530213","NUM"
"Q321009368-1","fitting","fitting","NOUN"
"Q321009368-1","interface","interface","NOUN"
"Q321009368-1","spar","spar","NOUN"
"Q321009368-1","0.800","0.800","NUM"
"Q321009368-1","g05361003","g05361003","NOUN"
"Q321009368-1","longeron","longeron","NOUN"
"Q321009368-1","platform","platform","NOUN"
"Q321009368-1","fuse","fuse","NOUN"
"Q321009368-1","issue","issue","NOUN"
"Q321009368-1","pitch","pitch","NOUN"
"Q321009368-1","1.500","1.500","NUM"
"Q321009368-1","attachtment","attachtment","NOUN"
"Q321009373-1","1016","1016","NUM"
"Q321009373-1","1031","1031","NUM"
"Q321009373-1","strg","strg","VERB"
"Q321009373-1","exist","exist","VERB"
"Q321009373-1","condition","condition","NOUN"
"Q321009373-1","strg","strg","NOUN"
"Q321009373-1","g05363963","g05363963","NUM"
"Q321009373-1","fitting","fit","VERB"
"Q321009373-1","g05363966","g05363966","NUM"
"Q321009373-1","fitting","fitting","VERB"
"Q321009373-1","inbd","inbd","VERB"
"Q321009373-1","affected","affect","VERB"
"Q321009373-1","g05363499","g05363499","NUM"
"Q321009373-1","splice","splice","NOUN"
"Q321009373-1","fuse","fuse","NOUN"
"Q321009373-1","g05363488","g05363488","NUM"
"Q321009373-1","skin","skin","NOUN"
"Q321009373-1","panel","panel","NOUN"
"Q321009373-1","barrel","barrel","NOUN"
"Q321009373-1","0.009","0.009","NUM"
"Q321009373-1","length","length","NOUN"
"Q321009373-1","1.300","1.300","NUM"
"Q321009373-1","0.010","0.010","NUM"
"Q321009373-1","1.400","1.400","NUM"
"Q321009373-1","0.005","0.005","NUM"
"Q321009373-2","exist","exist","VERB"
"Q321009373-2","condition","condition","NOUN"
"Q321009373-2","1016","1016","NUM"
"Q321009373-2","1031","1031","NUM"
"Q321009373-2","strg","strg","VERB"
"Q321009373-2","g05363963","g05363963","NUM"
"Q321009373-2","fitting","fit","VERB"
"Q321009373-2","g05363966","g05363966","NUM"
"Q321009373-2","fitting","fitting","VERB"
"Q321009373-2","inbd","inbd","VERB"
"Q321009373-2","affected","affect","VERB"
"Q321009373-2","g05363499","g05363499","NUM"
"Q321009373-2","splice","splice","NOUN"
"Q321009373-2","fuse","fuse","NOUN"
"Q321009373-2","g05363488","g05363488","NUM"
"Q321009373-2","skin","skin","NOUN"
"Q321009373-2","panel","panel","NOUN"
"Q321009373-2","barrel","barrel","NOUN"
"Q321009373-2","0.012","0.012","NUM"
"Q321009373-2","length","length","NOUN"
"Q321009373-2","1.300","1.300","NUM"
"Q321009373-2","0.005","0.005","NUM"
"Q321009373-2","1.400","1.400","NUM"
"Q321009373-2","g05363965","g05363965","NUM"
"Q321009373-2","inbd","inbd","NOUN"
"Q321009373-2","g05363964","g05363964","NUM"
"Q321009373-2","fitting","fitting","NOUN"
"Q321009373-2","strg","strg","NOUN"
"Q321009373-2","g05363445","g05363445","NUM"
"Q321009373-2","0.006","0.006","NUM"
"Q321009373-2","attachtment","attachtment","NOUN"
"Q321009476-1","q321004209","q321004209","NUM"
"Q321009476-1","achieve","achieve","VERB"
"Q321009476-1","installation","installation","NOUN"
"Q321009476-1","fairing","fairing","NOUN"
"Q321009476-1","g05530300","g05530300","NUM"
"Q321009476-1","angle","angle","NOUN"
"Q321009476-1","dorsal","dorsal","NOUN"
"Q321009476-1","fuse","fuse","NOUN"
"Q321009476-1","g05530232","g05530232","NUM"
"Q321009476-1","trimmed","trim","VERB"
"Q321009476-1","0330","0330","NUM"
"Q321009476-1","angles","angle","NOUN"
"Q321009476-1","channel","channel","NOUN"
"Q321009476-1","assy","assy","NOUN"
"Q321009476-1","g05530230","g05530230","NUM"
"Q321009476-1","clearance","clearance","NOUN"
"Q321009476-1","angles","angles","NOUN"
"Q321009476-1","0.560","0.560","NUM"
"Q321009476-1","minimum","minimum","NOUN"
"Q321009476-1","adjacent","adjacend","VERB"
"Q321009476-1","fastener","fastener","NOUN"
"Q321009476-1","b0205017ad3","b0205017ad3","NOUN"
"Q321009476-1","0.625","0.625","NUM"
"Q321009812-1","1016","1016","NUM"
"Q321009812-1","exist","exist","VERB"
"Q321009812-1","strg","strg","NOUN"
"Q321009812-1","misaligned","misalign","VERB"
"Q321009812-1","condition","condition","NOUN"
"Q321009812-1","install","install","VERB"
"Q321009812-1","fittings","fitting","NOUN"
"Q321009812-1","drawing","draw","VERB"
"Q321009812-1","g05363921","g05363921","NUM"
"Q321009812-1","requirements","requirement","NOUN"
"Q321009812-1","uniform","uniform","NOUN"
"Q321009812-1","misalignment","misalignment","NOUN"
"Q321009812-1","stringer","stringer","NOUN"
"Q321009812-1","barrel","barrel","NOUN"
"Q321009812-1","g05363664","g05363664","NUM"
"Q321009812-1","fuse","fuse","NOUN"
"Q321009812-1","g05361754","g05361754","NUM"
"Q321009812-1","step","step","NOUN"
"Q321009812-1","stgr","stgr","NOUN"
"Q321009812-1","g05363953","g05363953","NUM"
"Q321009858-1","q321004209","q321004209","NUM"
"Q321009858-1","achieve","achieve","VERB"
"Q321009858-1","installation","installation","NOUN"
"Q321009858-1","fairing","fairing","NOUN"
"Q321009858-1","g05530300","g05530300","NUM"
"Q321009858-1","angle","angle","NOUN"
"Q321009858-1","dorsal","dorsal","NOUN"
"Q321009858-1","fuse","fuse","NOUN"
"Q321009858-1","g05530232","g05530232","NUM"
"Q321009858-1","trimmed","trim","VERB"
"Q321009858-1","0.200","0.200","NUM"
"Q321009858-1","angles","angle","NOUN"
"Q321009858-1","channel","channel","NOUN"
"Q321009858-1","assy","assy","NOUN"
"Q321009858-1","g05530230","g05530230","NUM"
"Q321009858-1","clearance","clearance","NOUN"
"Q321009858-1","angles","angles","NOUN"
"Q321009858-1","0.410","0.410","NUM"
"Q321009858-1","minimum","minimum","NOUN"
"Q321009858-1","adjacent","adjacend","VERB"
"Q321009858-1","fastener","fastener","NOUN"
"Q321009858-1","b0205017ad3","b0205017ad3","NOUN"
"Q321009858-1","0.690","0.690","NUM"
